id	orderId	orderDatetime	productCode	unitPrice	units	totalPrice
0	0000000000	2024-12-26 06:16:16	0000020453	17.59	9.00	158.31
1	0000000000	2024-12-26 06:16:16	0000023676	11.45	5.00	57.25
2	0000000001	2024-10-19 03:23:21	0000024765	18.80	3.00	56.40
3	0000000001	2024-10-19 03:23:21	0000026585	12.99	9.00	116.91
4	0000000001	2024-10-19 03:23:21	0000020512	12.05	3.00	36.15
5	0000000002	2025-06-04 18:38:44	0000020277	10.85	3.00	32.55
6	0000000002	2025-06-04 18:38:44	0000025575	32.49	1.00	32.49
7	0000000003	2025-08-14 22:46:44	0000023026	12.20	7.00	85.40
8	0000000004	2025-07-11 03:51:54	0000021462	13.65	4.00	54.60
9	0000000004	2025-07-11 03:51:54	0000025496	16.99	5.00	84.95
10	0000000004	2025-07-11 03:51:54	0000022396	9.89	7.00	69.23
11	0000000004	2025-07-11 03:51:54	0000022257	28.45	4.00	113.80
12	0000000004	2025-07-11 03:51:54	0000026672	36.99	7.00	258.93
13	0000000005	2024-05-01 15:24:20	0000024372	28.45	7.00	199.15
14	0000000006	2024-12-19 13:26:47	0000022929	12.30	9.00	110.70
15	0000000007	2024-10-20 09:18:45	0000025408	19.99	9.00	179.91
16	0000000007	2024-10-20 09:18:45	0000025471	29.99	10.00	299.90
17	0000000007	2024-10-20 09:18:45	0000021870	51.90	4.00	207.60
18	0000000007	2024-10-20 09:18:45	0000022395	9.60	9.00	86.40
19	0000000007	2024-10-20 09:18:45	0000021210	20.84	8.00	166.72
20	0000000008	2025-06-03 13:48:12	0000024541	2.60	7.00	18.20
21	0000000008	2025-06-03 13:48:12	0000021853	8.45	1.00	8.45
22	0000000008	2025-06-03 13:48:12	0000022900	8.80	5.00	44.00
23	0000000009	2024-09-09 09:14:42	0000024621	2.90	7.00	20.30
24	0000000009	2024-09-09 09:14:42	0000022459	6.75	6.00	40.50
25	0000000009	2024-09-09 09:14:42	0000025160	22.99	1.00	22.99
26	0000000009	2024-09-09 09:14:42	0000022387	9.10	7.00	63.70
27	0000000009	2024-09-09 09:14:42	0000020954	16.79	10.00	167.90
28	0000000009	2024-09-09 09:14:42	0000025789	49.99	10.00	499.90
29	0000000009	2024-09-09 09:14:42	0000026496	11.99	5.00	59.95
30	0000000010	2024-07-31 17:12:37	0000024443	12.20	1.00	12.20
31	0000000010	2024-07-31 17:12:37	0000023500	34.65	5.00	173.25
32	0000000011	2024-05-08 05:14:04	0000020907	15.60	5.00	78.00
33	0000000011	2024-05-08 05:14:04	0000026417	26.99	9.00	242.91
34	0000000011	2024-05-08 05:14:04	0000020593	14.85	1.00	14.85
35	0000000012	2024-02-24 12:26:55	0000026290	19.99	4.00	79.96
36	0000000012	2024-02-24 12:26:55	0000023822	7.50	9.00	67.50
37	0000000012	2024-02-24 12:26:55	0000023332	24.25	3.00	72.75
38	0000000012	2024-02-24 12:26:55	0000025353	159.99	6.00	959.94
39	0000000013	2024-04-02 07:10:53	0000020491	13.60	3.00	40.80
40	0000000013	2024-04-02 07:10:53	0000024316	15.15	6.00	90.90
41	0000000014	2024-04-20 19:09:33	0000025855	899.99	8.00	7199.92
42	0000000014	2024-04-20 19:09:33	0000020568	11.35	6.00	68.10
43	0000000014	2024-04-20 19:09:33	0000025220	26.29	2.00	52.58
44	0000000015	2024-11-21 13:01:47	0000020221	30.15	2.00	60.30
45	0000000015	2024-11-21 13:01:47	0000023521	18.15	4.00	72.60
46	0000000015	2024-11-21 13:01:47	0000022658	7.10	4.00	28.40
47	0000000016	2024-07-20 06:52:20	0000025230	22.99	7.00	160.93
48	0000000016	2024-07-20 06:52:20	0000023354	69.30	2.00	138.60
49	0000000017	2024-06-05 13:23:41	0000020620	34.05	5.00	170.25
50	0000000018	2024-04-25 22:48:18	0000020649	6.15	8.00	49.20
51	0000000018	2024-04-25 22:48:18	0000024337	24.00	2.00	48.00
52	0000000018	2024-04-25 22:48:18	0000022181	32.50	6.00	195.00
53	0000000019	2024-02-09 09:24:57	0000022444	6.45	9.00	58.05
54	0000000020	2024-05-22 01:23:21	0000022827	8.35	1.00	8.35
55	0000000021	2024-07-26 03:24:35	0000023484	9.55	5.00	47.75
56	0000000021	2024-07-26 03:24:35	0000024255	0.00	8.00	0.00
57	0000000021	2024-07-26 03:24:35	0000020211	32.45	8.00	259.60
58	0000000022	2024-02-07 23:07:23	0000024333	21.75	5.00	108.75
59	0000000022	2024-02-07 23:07:23	0000025572	21.99	10.00	219.90
60	0000000023	2024-04-02 07:30:55	0000023187	21.25	7.00	148.75
61	0000000024	2025-03-31 13:40:52	0000021761	7.69	6.00	46.14
62	0000000024	2025-03-31 13:40:52	0000020651	10.05	8.00	80.40
63	0000000025	2024-08-11 14:25:08	0000021125	14.00	6.00	84.00
64	0000000025	2024-08-11 14:25:08	0000021742	20.25	2.00	40.50
65	0000000026	2024-03-03 14:57:57	0000025463	11.99	3.00	35.97
66	0000000027	2024-05-28 13:53:43	0000021123	13.04	3.00	39.12
67	0000000027	2024-05-28 13:53:43	0000021470	11.00	7.00	77.00
68	0000000028	2024-02-12 04:21:38	0000020090	13.35	2.00	26.70
69	0000000028	2024-02-12 04:21:38	0000022401	5.10	7.00	35.70
70	0000000028	2024-02-12 04:21:38	0000025919	18.99	10.00	189.90
71	0000000029	2025-10-02 12:11:42	0000021463	11.10	9.00	99.90
72	0000000030	2025-09-22 08:16:48	0000025852	47.99	7.00	335.93
