United States|702221472|14176457|343620371|224229136|119391235|5507914|6390981|15768805|36563396|149166|14536619|16781991|23692363|50358297|440659|623624|9921925|1500349|20962965|2376844|962445|12636215|933271|272770270|235961745|36808525|21296077|3890364|4234610|11077494|2093609|R|R|R|R|R|R|R|R|R|R|R|R|R|R|R||R|R|R|R|R|R|R|R|R|R|R||R|R|
California|104840520|3353597|38578241|31197154|7381087|311242|0|2180786|3163694|15541|745467|922986|41371|8123248|51423|15027|52916|91440|3108956|270344|449195|4065097|18850|54761025|45646436|9114589|24409|0|0|24409|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
New York |63529354|0|20911997|10568466|10343531|224621|690|1430125|1613229|22472|891406|1351332|4809656|1541769|49000|16|59899|75629|965000|136785|34047|220000|1393|38646731|34751382|3895349|2428857|866377|311230|0|1251250|R| |R| |R| | | |R| | | |R|| | | | | | | | | | | | | | | | | 
Texas|39399251|0|31119148|19663374|11455774|809234|37564|1307847|3043495|10279|765596|1388765|4092994|6542886|68416|8238|3866846|98700|1542188|101229|24684|730635|101950|0|0|0|1737217|81|0|1737136|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Florida|31498998|700|26241172|18537000|7704172|590423|148604|667800|2266814|11460|3079200|389267|550604|2124726|8583|15000|238147|15143|1282832|310101|31638|219401|3881|1793200|0|1793200|1339200|3300|1252500|71000|12400| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Pennsylvania|30169122|55363|15464898|8029797|7435101|297638|1231127|778175|2020099|17460|1292373|1090892|707337|2546905|16333|182899|538905|70733|800432|60995|61214|796930|18464|11001243|9352287|1648956|1100713|728713|347108|0|24892| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Illinois|27511933|50962|14901490|8842231|6059259|230394|514533|344144|1339228|7034|1781022|581817|1261087|2405779|11952|48554|322868|39606|1446595|92484|25780|409868|8072|9870000|8510000|1360000|283702|243379|40323|0|0|R| | | | | | | | | | | | || | | | | | | | | |R|R|R| | | | | 
New Jersey |25927891|3908|11307452|7898165|3409287|126367|296125|509305|535281|0|938945|759742|243522|1388521|10399|66807|227497|13484|578968|50345|4172|434587|2262|12370417|10322943|2047474|857593|581624|275969|0|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Ohio|23583596|0|12245348|7253496|4991852|93643|0|432925|1727242|8370|1144976|886875|697821|3243554|38882|4417|1387449|38661|832589|89456|33179|795721|23200|8029120|7886802|142318|65574|55024|0|10550|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Michigan|22205870|2065215|12435171|9012729|3422442|140586|101815|257510|967728|6239|27698|1007873|912993|1357502|14264|0|20752|50601|877844|51712|24260|154820|163249|6163244|5531349|631895|184738|0|121632|63106|0|R|R|R|R|R|R|R|R|R|R|R|R|R|R|R| |R|R|R|R|R|R|R|R|R|R|R| |R|R| 
North Carolina|21517254|0|9433591|5856993|3576598|294532|15678|507038|1551660|0|398661|273946|535083|1536012|15507|0|621546|16331|548379|127096|0|199421|7732|10428003|9133689|1294314|119648|83980|34204|1464|0|R| |R| |R| | | | | | | |R|R| | |R| | | | |R|R| | | | | | | | 
Massachusetts|20050292|4549|6773581|4625682|2147899|71887|3190|310589|654649|2098|23480|579854|502152|859728|3006|423|25137|5222|362053|104298|0|249807|109782|11962894|10128035|1834859|449540|221379|166989|0|61172| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Minnesota|17208877|765742|7882903|4426608|3456295|75051|34382|335839|832291|637|58|428767|1749270|1055697|1788|1174|7955|58140|557733|46189|779|332015|49924|7179853|6458111|721742|324682|148422|152970|23290|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Virginia|16411055|31181|5871652|3543210|2328442|182381|112|414165|882919|0|158487|175581|514797|655193|11700|86|54145|24432|339581|58743|0|162137|4369|9449125|8659470|789655|403904|5670|289488|1882|106864| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Washington|16106154|1822278|12849019|9607285|3241734|282555|0|405923|1196688|2049|448251|426265|480003|933241|12676|7061|25834|35222|463075|66666|18059|241255|63393|0|0|0|501616|81720|398991|20905|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Maryland|15223923|774109|6257681|3753778|2503903|29874|23446|391569|722597|1541|124075|405915|804886|740264|1118|23|93086|15384|433777|28554|0|166317|2005|7091684|6200292|891392|360185|173460|127401|0|59324| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Georgia|14782779|86228|6516066|4864691|1651375|169019|0|274367|854360|0|0|227180|126449|467750|1327|269|33318|24135|282516|42648|23|74279|9235|7701113|7016412|684701|11622|0|11622|0|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Wisconsin|14368569|142653|6686839|3944260|2742579|53792|333|146886|972979|306|350580|704156|513547|833180|1682|597|18231|71686|471556|42309|39565|183214|4340|6643528|5791991|851537|62369|872|44308|5004|12185| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Indiana|13796427|1206|8490450|5941044|2549406|41563|873166|176426|759959|4546|198988|484686|10072|704694|11502|5444|10206|20682|393350|214505|0|41033|7972|4465440|3868093|597347|134637|133211|0|1426|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Connecticut|12285994|0|5368695|3145579|2223116|48197|420224|203955|498177|7062|279575|385636|380290|374048|7757|66|23901|8442|196778|37251|0|95303|4550|6276598|5768846|507752|266653|167977|98615|61|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Tennessee|10513788|0|8027796|6130877|1896919|117516|0|555163|824795|0|10328|290438|98679|1167316|1161|296|551412|32362|249577|45118|7372|271796|8222|1074076|172459|901617|244600|81091|124226|2251|37032| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Arizona|10199338|774613|6192335|4409603|1782732|65418|12179|437975|796560|285|21406|338473|110436|369150|5444|0|9456|28156|176095|23701|9241|113170|3887|2829517|2416324|413193|33723|351|0|33372|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Missouri|9708463|29538|4528599|2919117|1609482|32785|390931|270053|721917|0|0|106163|87633|595866|4890|1766|91566|32248|265623|17215|20970|143270|18318|4533443|4326507|206936|21017|246|8361|2|12408|R| |R| |R| | | | | | | |R|R| | | | | | |R|R| | | | | | | | | 
Kentucky|9531108|516170|4677297|2794057|1883240|111074|187|125063|655245|0|66787|299541|625343|441918|5885|271|74724|24716|198783|16537|0|116665|4337|3538303|3154488|383815|357420|37202|3072|317146|0|R| | | | | | | | | | | | |R|R| | |R|R| | |R|R| | | |R| |R| | 
Louisiana|8757557|49426|4842797|2579946|2262851|55331|667151|532643|587995|5268|8828|135927|269708|425575|0|0|156648|27252|109388|12758|10911|105938|2680|2679536|2286500|393036|760223|1754|0|758469|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Colorado|8586401|0|3515780|2050445|1465335|36209|98567|189786|602347|528|12536|203064|322298|549111|6045|828|13881|68562|379611|20937|16040|42176|1031|4449951|4089948|360003|71559|123|0|71436|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Alabama |8185563|319999|4234238|2097434|2136804|167285|115|259169|558476|2104|812367|137401|199887|492844|3868|0|108682|20810|200285|19148|13525|126525|1|3017494|2589249|428245|120988|96|30354|90538|0|R|R| | | | | | | | | | | || | | | | | | | | | | | | | | | | 
South Carolina|7312534|9317|4017383|2833839|1183544|148942|35326|125334|521215|0|31479|35257|285991|433497|7740|2093|71033|17231|147405|51121|0|128629|8245|2821500|2673000|148500|30837|73|30764|0|0|R| | | | | | | | | | | | || | | | | | | | | |R|R|R| | | | | 
Oregon|7289362|25092|957241|0|957241|16252|187|72876|403284|3014|43780|239254|178594|887011|3390|2727|15284|44549|496097|28501|5615|284278|6570|5299127|4945538|353589|120891|98034|10115|12742|0|R| |R| |R| | | | | |R| |R|R| | | | | | |R|R| | | | | | | | | 
Arkansas|7279215|647944|3704634|2615290|1089344|45315|8787|144237|466482|4725|0|250841|168957|333841|2931|464|24504|26715|139582|16871|8647|113194|933|2476447|2091082|385365|116349|89|26275|65147|24838| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Oklahoma|7079985|0|2953081|1968309|984772|90066|13908|148708|431151|1319|31899|248472|19249|906188|1169|121596|46198|19969|579380|15916|5|108388|13567|2441183|2224783|216400|779533|22702|11321|743686|1824| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
Iowa|6809344|0|3185571|2121842|1063729|14488|279413|88571|437763|3913|0|232573|7008|700707|11803|16464|33072|28663|466982|14428|12171|110012|7112|2842175|2650037|192138|80891|68358|12533|0|0| | | | | | | | | | | | | || | | | | | | | | | | | | | | | | 
